tíðnisæti MÍNO	lemma	orðflokkur	fjöldi
1876	kort	n	1106
1878	veikja	s	1102
1879	skuggi	n	1100
1880	einstaka	l	1098
1882	dauðsfall	n	1097
1883	ella	a	1097
1884	hvati	n	1094
1885	hæfileiki	n	1094
1886	tíður	l	1094
1889	ennþá	a	1092
1890	áðurnefndur	l	1090
1891	úrlausn	n	1089
1892	hamingja	n	1087
1893	háttsemi	n	1085
1894	afbrigði	n	1084
1896	velferð	n	1083
1899	nær	a	1082
1900	endurtekinn	l	1081
1901	nægilegur	l	1081
1902	réttlæti	n	1081
1903	sambúð	n	1079
1904	samsetning	n	1079
1905	sjálfstætt	a	1079
1906	andstaða	n	1077
1909	hindrun	n	1076
1911	gripur	n	1074
1912	tónn	n	1074
1914	innihald	n	1072
1915	aðlögun	n	1070
1917	hljóma	s	1067
1918	birtingarmynd	n	1066
1922	ökutæki	n	1065
1923	þiggja	s	1063
1924	heildstæður	l	1062
1927	vandræði	n	1061
1928	sekt	n	1060
1929	tileinka	s	1060
1932	tiltaka	s	1057
1933	aðlaga	s	1056
1934	smita	s	1055
1935	vit	n	1055
1936	fullyrðing	n	1054
1938	hæfi	n	1053
1941	stilla	s	1050
1942	hægt	a	1048
1944	samfelldur	l	1047
1947	greinarmunur	n	1045
1949	umönnun	n	1045
1950	spenna	n	1044
1951	örfár	l	1042
1954	lítt	a	1040
1955	uppgötva	s	1039
1958	almenningssamgöngur	n	1036
1959	greinilegur	l	1035
1960	lágmark	n	1033
1961	ryðja	s	1033
1962	vitneskja	n	1033
1966	tilvera	n	1029
1967	einasti	l	1026
1970	skaðlegur	l	1024
1974	nýjung	n	1020
1975	síðan	c	1020
1976	beiting	n	1019
1978	kollur	n	1019
1980	býsna	a	1018
1981	ræktun	n	1018
1987	árabil	n	1010
1989	aðgreining	n	1009
1996	skammt	a	1006
1999	uppeldi	n	1004
2001	samantekt	n	1003
2003	alfarið	a	1002
2004	fallinn	l	1002
2011	traustur	l	998
2014	neyta	s	995
2018	ævintýri	n	993
2019	bundinn	l	992
2020	einfalda	s	992
2021	gagna	s	992
2022	henda	s	992
2025	hvaðan	a	986
2026	raunverulega	a	986
2027	spor	n	986
2030	frávik	n	984
2031	grundvallaratriði	n	984
2035	hitastig	n	981
2036	ímynda	s	980
2038	dæmigerður	l	979
2039	hönnun	n	978
2040	upptaka	n	978
2041	aðdragandi	n	976
2044	tilvitnun	n	976
2045	umdeildur	l	976
2047	ógn	n	974
2049	öðruvísi	a	973
2050	fjölbreytni	n	971
2051	virkja	s	970
2053	áverki	n	969
2056	mataræði	n	968
2057	létta	s	967
2058	ábyrgur	l	966
2060	breiða	s	964
2061	nærri	a	963
2062	réttlæta	s	963
2063	undirrita	s	963
2064	úrbót	n	963
2066	vitund	n	962
2069	komandi	l	961
2072	boðskapur	n	958
2073	forgangsröðun	n	957
2076	efa	s	953
2081	meina	s	951
2083	kvarta	s	949
2085	afnema	s	947
2088	fangi	n	946
2091	knýja	s	946
2092	ættingi	n	946
2094	fækkun	n	944
2100	ómögulegur	l	941
2101	farvegur	n	939
2104	hæfur	l	938
2105	óvenjulegur	l	938
2106	áframhaldandi	l	937
2108	nágrenni	n	935
2110	merkur	l	934
2111	grófur	l	933
2112	ímynd	n	932
2113	samræmdur	l	932
2114	hanna	s	930
2115	jafnræði	n	929
2116	skjól	n	929
2118	afurð	n	928
2122	undanskilinn	l	928
2123	einangrun	n	927
2125	sér	l	927
2128	ítrekað	a	925
2131	trygging	n	925
2134	bylgja	n	922
2137	misseri	n	922
2138	streita	n	922
2140	fullkomlega	a	920
2142	kringumstæður	n	920
2145	óvæntur	l	919
2146	smátt	a	919
2147	tvöfaldur	l	919
2148	sannleiki	n	918
2149	útland	n	917
2150	heilbrigði	n	916
2151	samtímis	a	916
2156	skriflegur	l	915
2159	helga	s	914
2162	raunhæfur	l	911
2163	batna	s	910
2164	sanngjarn	l	909
2165	þökk	n	909
2166	rökstyðja	s	908
2167	vinsæld	n	907
2170	tímabundið	a	905
2173	rjúfa	s	903
2174	tjáning	n	902
2175	fátækt	n	901
2176	rás	n	900
2177	útbreiddur	l	900
2179	úthluta	s	898
2180	þéttur	l	898
2181	fullnægja	s	897
2183	vörður	n	897
2188	nærri	l	893
2189	spara	s	892
2190	fremja	s	891
2192	langvarandi	l	890
2196	lykilatriði	n	888
2198	viðleitni	n	888
2205	gildur	l	885
2206	kveikja	s	885
2207	raunveruleiki	n	884
2208	starfsháttur	n	882
2211	nágrannaland	n	879
2212	valkostur	n	878
2213	andstæðingur	n	877
2214	bifreið	n	877
2217	fyrrum	a	876
2220	samanstanda	s	876
2221	árslok	n	875
2223	andstæða	n	874
2224	myrkur	n	874
2225	skyndilega	a	873
2226	loksins	a	872
2227	alvarlega	a	871
2228	leif	n	871
2231	miðlun	n	870
2232	reiði	n	870
2234	frábrugðinn	l	869
2240	flýja	s	867
2241	heiður	n	867
2243	tilviljun	n	867
2245	halla	s	866
2246	staðsettur	l	866
2247	skilgreindur	l	864
2249	teygja	s	863
2251	ótrúlega	a	862
2252	lélegur	l	861
2254	óhætt	l	860
2257	halli	n	859
2261	fræða	s	857
2264	ansi	a	855
2267	þroska	s	855
2271	hleypa	s	852
2272	þjáning	n	852
2274	skynjun	n	850
2277	efna	s	847
2278	meðhöndlun	n	847
2279	miðill	n	847
2280	skynsemi	n	847
2281	nýmæli	n	846
2282	viðamikill	l	846
2286	orsaka	s	843
2287	veigamikill	l	843
2289	jafna	n	841
2292	far	n	839
2293	ákvarðanataka	n	838
2294	truflun	n	838
2295	framgangur	n	837
2296	skella	s	837
2297	spyrjandi	n	837
2298	atvinna	n	835
2299	eintak	n	835
2302	ráðandi	l	835
2303	svipur	n	835
2304	þrengja	s	835
2307	andlát	n	833
2309	taka	n	833
2312	kunnur	l	832
2314	álitamál	n	831
2316	móttaka	n	829
2317	umgjörð	n	828
2318	daglega	a	827
2319	sjálfsagt	a	827
2320	hliðstæður	l	825
2323	sundur	a	824
2324	skáli	n	823
2328	einföldun	n	821
2330	fróðleikur	n	820
2331	fyrirfram	a	820
2336	hlutlaus	l	818
2337	vik	n	818
2338	bráð	n	817
2339	gagnsæi	n	817
2341	áreiti	n	816
2343	stakur	l	816
2345	málefnalegur	l	815
2348	völlur	n	813
2352	námsefni	n	811
2353	leyna	s	809
2354	andstæður	l	808
2358	rétta	s	807
2359	starfrækja	s	807
2360	þolandi	n	807
2361	gerandi	n	806
2362	misskilningur	n	806
2363	ógna	s	806
2364	samsvara	s	805
2366	áhrifamikill	l	803
2367	lærður	l	803
2368	óþægindi	n	803
2370	þétt	a	803
2373	tún	n	801
2374	framvinda	n	800
2376	ætíð	a	797
2378	atburðarás	n	795
2379	innsýn	n	795
2380	fjölmennur	l	794
2381	ávöxtur	n	793
2382	meintur	l	792
2384	lýsandi	l	790
2385	undarlegur	l	790
2386	vanur	l	790
2387	tilfinningalegur	l	789
2388	vakt	n	789
2389	auðveldlega	a	788
2392	yfirráð	n	788
2393	ákaflega	a	787
2397	gefinn	l	786
2403	búsettur	l	783
2408	tilmæli	n	779
2409	ögn	n	779
2411	leiðsögn	n	777
2416	uppgjör	n	776
2417	árangursríkur	l	775
2419	umgengni	n	775
2420	vissa	n	775
2422	undirliggjandi	l	774
2424	skilvirkni	n	772
2426	dvöl	n	771
2431	fróðlegur	l	769
2433	ráðning	n	769
2435	ánægjulegur	l	767
2436	örva	s	767
2437	eiginmaður	n	766
2440	alger	l	765
2443	undirstaða	n	765
2445	sköpun	n	761
2451	brátt	a	757
2453	formlega	a	756
2454	ósköp	n	756
2455	sönnun	n	756
2459	blanda	n	752
2460	réttlátur	l	752
2463	verklag	n	752
2464	yfirgefa	s	752
2465	greiður	l	750
2466	þjá	s	750
2469	verka	s	749
2471	högg	n	748
2476	efling	n	745
2477	stöðugleiki	n	745
2479	fyrirsjáanlegur	l	744
2482	misnotkun	n	743
2486	not	n	742
2488	rökstuðningur	n	742
2491	afgerandi	l	740
2496	eðlilega	a	738
2498	umsjón	n	738
2499	þrep	n	738
2504	hlutlægur	l	736
2505	mismunur	n	736
2506	sveifla	n	736
2507	öðruvísi	l	736
2508	kring	a	734
2510	lögun	n	734
2511	versna	s	734
2512	aðalatriði	n	733
2518	menntaður	l	731
2521	vangavelta	n	731
2523	rýna	s	729
2526	forgangur	n	727
2529	óþarfur	l	726
2531	afskipti	n	725
2533	kaupandi	n	725
2535	veiting	n	724
2536	fegurð	n	723
2539	fötlun	n	722
2540	neyða	s	722
2541	ráðlegging	n	722
2542	skorða	n	722
2544	vísan	n	722
2546	samvist	n	720
2547	streyma	s	720
2548	aftan	a	719
2549	dýpi	n	719
2551	óvinur	n	719
2552	játa	s	718
2553	væntanlegur	l	718
2554	æska	n	718
2555	meðfæddur	l	716
2557	nákvæmni	n	715
2558	veiki	n	715
2560	aðhald	n	714
2561	áætlaður	l	714
2562	pistill	n	714
2563	undirritaður	l	714
2564	útbúa	s	714
2566	vonbrigði	n	713
2567	framandi	l	712
2568	gagnrýnandi	n	712
2569	virkilega	a	712
2573	ráðleggja	s	710
2574	svarandi	n	710
2575	þrífa	s	710
2577	tilheyrandi	l	709
2578	afkomandi	n	708
2579	víst	a	708
2580	aðskilinn	l	707
2581	endurnýjun	n	707
2582	meginmarkmið	n	707
2583	vellíðan	n	707
2584	dráttur	n	706
