English, Icelandic, Section, Book
crow,gala,Chapter 12, Ronja ræningjadóttir
gallop,valhopp,Chapter 12, Ronja ræningjadóttir
cheerful,kátur,Chapter 12, Ronja ræningjadóttir
steep,brattur,Chapter 12, Ronja ræningjadóttir
piece,stykki,Chapter 12, Ronja ræningjadóttir
wriggle,sprikla,Chapter 12, Ronja ræningjadóttir
gut,slægja,Chapter 12, Ronja ræningjadóttir
struggle,bisa,Chapter 12, Ronja ræningjadóttir
give off a pleasant smell,angaði,Chapter 13,Ronja ræningjadóttir
earth,jarðríki,Chapter 13, Ronja ræningjadóttir
grow,gróið,Chapter 13,Ronja ræningjadóttir
neigh,hneggja,Chapter 13, Ronja ræningjadóttir
readily,gjarnan,Chapter 13,Ronja ræningjadóttir
bolt,fælast,Chapter 13, Ronja ræningjadóttir
importunate,nærgöngull,Chapter 13,Ronja ræningjadóttir
skull-cap,kollhúfur,Chapter 13, Ronja ræningjadóttir
nip,glefsaði,Chapter 13,Ronja ræningjadóttir
unkempt,úfinn,Chapter 14,Ronja ræningjadóttir
loaves of bread,brauðhleifa,Chapter 14,Ronja ræningjadóttir
amazing thing,dásemdir,Chapter 14,Ronja ræningjadóttir
padding,tróð,Chapter 14,Ronja ræningjadóttir
chewed mouthful,tuggði,Chapter 14,Ronja ræningjadóttir
snorted,hnussaði,Chapter 14,Ronja ræningjadóttir
thoughtful,íhugull,Chapter 14,Ronja ræningjadóttir
cunningly,kænlega,Chapter 14,Ronja ræningjadóttir
worry,kveið,Chapter 14,Ronja ræningjadóttir
din,skruðningur,Chapter 14,Ronja ræningjadóttir
leaned,hallaðist,Chapter 15,Ronja ræningjadóttir
cliff wall,hamraveggnum,Chapter 15,Ronja ræningjadóttir
affection,ástuð,Chapter 15,Ronja ræningjadóttir
flicker,flökti,Chapter 15,Ronja ræningjadóttir
sharp intake of breath,saup hveljur,Chapter 15,Ronja ræningjadóttir
fuming mad,bálill,Chapter 15, Ronja ræningjadóttir
infant,pelabarn,Chapter 15, Ronja ræningjadóttir
darned,ótætis,Chapter 15, Ronja ræningjadóttir
ledge,sylla,Chapter 15,Ronja ræningjadóttir
despond,æðrast,Chapter 7, Anna í Grænuhlið
attractive,aðlaðandi,Chapter 7, Anna í Grænuhlið
gawky,rengluleg,Chapter 7, Anna í Grænuhlið
scarecrow,fuglahræða,Chapter 7, Anna í Grænuhlið
anger,bræði,Chapter 7, Anna í Grænuhlið
stout,digur,Chapter 7, Anna í Grænuhlið
look,blær,Chapter 11, Anna í Grænuhlið
the cherry shrubs, kirsuberjarunnarnir,Chapter 11, Anna í Grænuhlið
jumping,stökkvandi,Chapter 11, Anna í Grænuhlið
outstretched arms,fangið,Chapter 11, Anna í Grænuhlið
pile,hrúgar,Chapter 11, Anna í Grænuhlið
suitable,heppilegt,Chapter 11, Anna í Grænuhlið
mug,krús,Chapter 11, Anna í Grænuhlið
unforgiving,langrækin,Chapter 16, Anna í Grænuhlíð
poignant,átakanlegt,Chapter 16, Anna í Grænuhlíð
be moved to tears,klökkna,Chapter 16, Anna í Grænuhlíð
regret,iðraðist,Chapter 16, Anna í Grænuhlíð
caricature,skrípamyndir,Chapter 16, Anna í Grænuhlíð
very,fjarska,Chapter 16, Anna í Grænuhlíð
parish,sókn,Chapter 16, Anna í Grænuhlíð
preach,prédika,Chapter 16, Anna í Grænuhlíð
mortal danger,lífsháska,Chapter 17, Anna í Grænuhlíð
kingfisher,þyrill,Chapter 17, Anna í Grænuhlíð
wasting away,tærðist,Chapter 17, Anna í Grænuhlíð
impossible,ótækt,Chapter 17, Anna í Grænuhlíð
bluebell,bláklukkur,Chapter 17, Anna í Grænuhlíð
bump,reka,Chapter 17, Anna í Grænuhlíð
pole,staur,Chapter 17, Anna í Grænuhlíð
sink,sökkva,Chapter 17, Anna í Grænuhlíð
rake, hrífa,Chapter 19, Anna í Grænuhlíð
totter,staulaðist,Chapter 19, Anna í Grænuhlíð
stamp,stappa,Chapter 19, Anna í Grænuhlíð
pouring off of,boga,Chapter 19, Anna í Grænuhlíð
emotion,geðshræringuna,Chapter 19, Anna í Grænuhlíð
needlework,saumsaskapinn,Chapter 19, Anna í Grænuhlíð
effort,fyrirhöfn,Chapter 19, Anna í Grænuhlíð
unaffected,hispurslaus,Chapter 19, Anna í Grænuhlíð
envious,öfundsjúk,Chapter 19, Anna í Grænuhlíð
wall of cliffs,hamrabelti,One,Átta fjöll
raft,fleki,One,Átta fjöll
pliant,auðsveipur,One,Átta fjöll
packing machines,pökkunarvélar,One,Átta fjöll
boorish,ruddist,Two,Átta fjöll
thumbtack,teiknibóla,Two,Átta fjöll
consist of something,samanstanda,Two,Átta fjöll
nobility,aðall,Two,Átta fjöll
abode,sel,Two,Átta fjöll
rush,þjóta,Two,Átta fjöll
morning dew,morgundögg,Two,Átta fjöll
use,not,Three,Átta fjöll
courage,kjarkur,Four,Átta fjöll
grill,glóðarsteikja,Four,Átta fjöll
merciless,óvæginn,Four,Átta fjöll
deep-seated,rótgróinn,Four,Átta fjöll
spirited discussions,æsingaræðum,Four,Átta fjöll
pushiness,frekjunni,Four,Átta fjöll
domineering,ráðríkur,Four,Átta fjöll
sea,glæ,Five,Átta fjöll
military encampment,herbuðunum,Five,Átta fjöll
carry,bar,Five,Átta fjöll
charming,heillaður,Five,Átta fjöll
additional,jók,Five,Átta fjöll
exploratory expedition,könnunarleiðöngrum,Five,Átta fjöll
formation,mótun,Five,Átta fjöll
give way,víkja,Five,Átta fjöll
ended,endast,Five,Átta fjöll
crawled,lyppaðist,Five,Átta fjöll
thaw,leysing,Six,Átta fjöll
little creek,lækjarspræna,Six,Átta fjöll
axe,öxi,Six,Átta fjöll
chainsaw,keðjusög,Six,Átta fjöll
breathless,mæði,Six,Átta fjöll
mistake,skyssa,Six,Átta fjöll
stop for a rest,æja,Six,Átta fjöll
mire,forað,Six,Átta fjöll
move,bifa,Six,Átta fjöll
rafter,sperra,Six,Átta fjöll
habits,líferni,Seven,Átta fjöll
zeal,ákafi,Seven,Átta fjöll
phenomenon,fyrirbæri,Seven,Átta fjöll
conscription,herskylda,Seven,Átta fjöll
seal skin,selskinn,Seven,Átta fjöll
libel,nið,Seven,Átta fjöll
low flat rock,klöpp,Seven,Átta fjöll
ice floe,snjófleki,Seven,Átta fjöll
fall,bylta,Seven,Átta fjöll
blow away,fjúka,Twelve,Átta fjöll
ghost,vofa,Twelve,Átta fjöll
hoarfrost,héla,Twelve,Átta fjöll
report,skothvellur,Twelve,Átta fjöll
resound,óma,Twelve,Átta fjöll
scree,urð,Twelve,Átta fjöll
complain,barma,Twelve,Átta fjöll
rifle,riffill,Twelve,Átta fjöll
sight,sigti,Twelve,Átta fjöll
intestines,innyfli,Twelve,Átta fjöll
wander,ráfa,Twelve,Átta fjöll
zeal,ákafi,page 3, Dúna
family estate,óðalssetur,page 3, Dúna
weather conditions,veðrabrigði,page 3, Dúna
be impending,aðsigi,page 3, Dúna
arched,hvelfdum,page 3, Dúna
stir in one's sleep,rumskað,page 3, Dúna
sluggish,daufum,page 3, Dúna
dusty,rykföllnum,page 3, Dúna
half-dome,kúpull,page 3, Dúna
unruly,vanstillt,page 3, Dúna
impossibility,ógerningur,page 17, Dúna
embossed,upphleypt,page 17, Dúna
multicolored,marglitur,page 17, Dúna
elliptical,sporöskjulaga,page 17, Dúna
round-faced,kringluleitur,page 17, Dúna
edge,brún,page 17, Dúna
subterfuge,klækir,page 28,Dúna
enticing,lokkandi,page 28,Dúna
honest,vammleysi,page 28,Dúna
youth,æska,page 28,Dúna
cleverness,kænska,page 28,Dúna
colorful,litadýrð,page 28,Dúna
meadows,engjar,page 28,Dúna
perform,þreyta,page 28,Dúna
venerable,æruverðugu,page 28, Dúna
sharp,hvass,page 28,Dúna
careful,varkár,page 49, Dúna
absorb,meðtaka,page 49, Dúna
diamond,tígullaga,page 49, Dúna
tattoo,húðflúr,page 49, Dúna
ponytail,tagl,page 49, Dúna
garment,spjör,page 49, Dúna
breathless,móður,page 49, Dúna
button up,hneppa,page 49, Dúna
ecologist,vistfræðingur,page 50, Dúna
hypocrisy,hræsni,page 50, Dúna
struggle with,kljást,page 60,Dúna
early childhood,frumbernska,page 60, Dúna
subject,viðfangið,page 60, Dúna
chin,haka,page 60,Dúna
sharpen,skerpa,page 60,Dúna
gather,smala,page 60,Dúna
superiority,yfirburðir,page 60,Dúna
react,bregða,page 60, Dúna
sharp-faced,skarpleitu,page 60, Dúna
convex,kúptur,page 74, Dúna
dust,ryk,page 74, Dúna
fleshless,holdlaus,page 74, Dúna
stick figure,spýtukall,page 74, Dúna
humorous,skoplegur,page 74, Dúna
square,ferkantað,page 74, Dúna
look around,svipaðist,page 74, Dúna
kneel down,krjúpa,page 74, Dúna
timely,tímabært,page 74, Dúna
faint,daufur,page 74, Dúna
knowledge,lærdómur,page 84, Dúna
pretend,þykjast,page 84, Dúna
upheaval,umrót,page 84, Dúna
disobey,óhlýðnast,page 84, Dúna
distant sound,ómur,page 84, Dúna
carved,útskorinn,page 84, Dúna
headboard,höfðagafli,page 84, Dúna
controls,stýribúnað,page 84, Dúna
catch on,fatta,page 84, Dúna
hinge,hjara,page 85, Dúna
heedless,andvaralaus,page 99, Dúna
wormhole,ormagryfjuna,page 99, Dúna
impervious,samdauna,page 99, Dúna
a lot,gríðarlegu,page 99, Dúna
sacrifice everything,leggja allt í sölurnar,page 99, Dúna
lean,halla,page 99, Dúna
parapet,brjóstvirki,page 99, Dúna
oblong,aflangur,page 99, Dúna
silver specie coin,silfurspesía,page 99, Dúna
horizon,sjóndeildarhringur,page 99, Dúna
dilettante,viðvaningslega,page 106, Dúna
carved,ristur,page 106, Dúna
camp,bækistöð,page 106, Dúna
invocation,ákall,page 106, Dúna
escape,sleppa,page 106, Dúna
saunter,arka,page 106, Dúna
echo,bergmála,page 106, Dúna
struggle,viðureign,page 106, Dúna
beat,berja,page 106, Dúna
unconditional,afdráttarlaus,page 106, Dúna
morals,siðferði,page 114, Dúna
roars of laughter,hlátrasköll,page 114, Dúna
clap,hvellur,page 114, Dúna
constrained,þvingaður,page 114, Dúna
function,vörpun,page 114, Dúna
flight time,flugþol,page 114, Dúna
shield,skjöldur,page 114, Dúna
profit,ágóðinn,page 114, Dúna
in working condition,starfhæfur,page 114, Dúna
droop,lygna,page 114, Dúna
fight,slagsmál,Svartidauði,Sjóræninginn
fool around,væflast,Svartidauði,Sjóræninginn
slam,skella,Svartidauði,Sjóræninginn
rush off,rjúka,Svartidauði,Sjóræninginn
directly,rakleiðis,Svartidauði,Sjóræninginn
lecture,röfla,Svartidauði,Sjóræninginn
towards,gagnvart,Svartidauði,Sjóræninginn
captivate,gagntaka,Svartidauði,Sjóræninginn
paintbrush,pensill,Svartidauði,Sjóræninginn
saint's legend,helgisaga,page 125,Dúna
dare,áræða,page 125,Dúna
ask,spyrja,page 125,Dúna
scale,skali,page 125,Dúna
telecommunications equipment,fjarskiptabúnað,page 125,Dúna
quickly,fljótheitum,page 125,Dúna
reverend,síra,page 125,Dúna
fire debris,snark,page 125,Dúna
start moving,stjá,Johnny Potten,Sjóræninginn
astride,klofvega,Johnny Potten,Sjóræninginn
sideburns,bartar,Johnny Potten,Sjóræninginn
refuse absolutely,þvertaka,Johnny Potten,Sjóræninginn
quarrel,þræta,Johnny Potten,Sjóræninginn
dark (and suspect) corner,skúmaskot,Johnny Potten,Sjóræninginn
slip,renna,Johnny Potten,Sjóræninginn
effort,fyrirhöfn,Johnny Potten,Sjóræninginn
gain,fengur,Johnny Potten,Sjóræninginn
area,flatarmál,Johnny Potten,Sjóræninginn
clip,myndskeið,page 131, Dúna
religion,trúarbrögð,page 131, Dúna
reference,vísun,page 131, Dúna
perception,skynjun,page 131, Dúna
awfully,ægilega,page 131, Dúna
atmosphere,yfirbragð,page 131, Dúna
unpleasant,ógeðfelldur,page 131, Dúna
intend,hyggjast,page 131, Dúna
forward,áleiðis,page 131, Dúna
potrait hallway,portrettganginn,page 135, Dúna
striking,áberandi,page 135, Dúna
grand,tignarlegur,page 135, Dúna
how,hve,page 135, Dúna
fit,falla,page 135, Dúna
unpretentious,látlausri,page 135, Dúna
lower,hnipra,page 135, Dúna
buzz,suða,page 135, Dúna
smirk,glotta,page 135, Dúna
magnificient quality,mikilfengleiki,page 161, Dúna
ephemeral,hverfull,page 161, Dúna
surround,umlykja,page 161, Dúna
ironic eyes,hæðnisaugum,page 161, Dúna
case,ver,page 161, Dúna
pretension,sýndarmennska,page 161, Dúna
characteristic,eiginleiki,page 161, Dúna
damnation,glötun,page 161, Dúna
gleam,glampa,page 161, Dúna
precious object,djásn,page 161, Dúna
miserable,vansæll,page 205, Dúna
misery,þjáning,page 205, Dúna
saturated with,þrunginn, page 205, Dúna
ills,illur,page 205, Dúna
sluggish,sljór,page 205, Dúna
faint,daufur,page 205, Dúna
tick,tifa,page 205, Dúna
very slowly,löturhægt,page 205, Dúna
rustle,skrjáfa,page 205, Dúna
gag,kefli,page 205, Dúna
stop dead,snarstansa,page 217, Dúna
lightning fast,eldsnöggur,page 217, Dúna
paralyzed,lamaður,page 217, Dúna
manner,fas,page 217, Dúna
immoveable,óbifanlega,page 217, Dúna
severity,harka,page 217, Dúna
set,láta,page 217, Dúna
calm and quiet,með kyrrum kjörum,page 217, Dúna
cluster,hvirfing,page 236, Dúna
canvas,strigi,page 236, Dúna
baggage,föggur,page 236, Dúna
deceitful,svikull,page 236, Dúna
stare,einblína,page 236, Dúna
transparent,gegnsær,page 236, Dúna
hide,fela,page 236, Dúna
resentful,beiskur,page 236, Dúna
deed,gjörð,page 236, Dúna
focus,skerpa,page 236, Dúna
out of one's mind,frávita,page 255, Dúna
blame somebody,áfelldist,page 255, Dúna
reassure,hughreysta,page 255, Dúna
law,lögmál,page 255, Dúna
weak-willed,veiklundaðan,page 255, Dúna
clairvoyant,ófreskur,page 255, Dúna
airtight,loftþéttur,page 255, Dúna
move,bæra,page 255, Dúna
rage,geisa,page 255, Dúna
dig,grafa,page 255, Dúna
apprehension,hugarangri,page 262, Dúna
climbable,kleifur,page 262, Dúna
plan,áform,page 262, Dúna
military town,setuliðsbæ,page 262, Dúna
news,fregn,page 262, Dúna
horde,legíó,page 262, Dúna
weary,aðframkominn,page 262, Dúna
threaten,ógna,page 262, Dúna
blow,högg,page 262, Dúna
gift,gáfa,page 275, Dúna
consider,íhuga,page 275, Dúna
possible,kleifur,page 275, Dúna
heath,heiði,page 275, Dúna
yet to arrive,ókominn,page 275, Dúna
wide,víður,page 275, Dúna
distance,tilsýndar,page 275, Dúna
confined,þröngur,page 275, Dúna
crater,gígur,page 275, Dúna
nest,hreiður,page 275, Dúna
